BACH2	BCL11B	PAX6	GLI3	NEUROD6	TARS	CBFA2T2	CENPF	OCIAD2	ZFHX4	H2AFZ	CD63	NNAT	COL4A2	TCF12	CCND1	NFIA	HEY1	PTPRZ1	SMOC1	NRXN1	CREB5	DNAJB6	EPHA5	CCNB1	CALM1	HMGCS1	MDK	PDP1	ORC6
BACH2	0	0.360292485847474	0	0	-1.34453276876624	0	0	0	0	0	1.22606238394306	0	0	0	0	0	0.49160859670203	0	0	0	0	0	0	0	0	0	0	0	3.06000634982961	0
BCL11B	0	0	0	0	0	0	0	0	0	2.82730841961238	0	0	0	1.17407821054696	0	0	0	-1.57241311269444	0	0	0	0	0	0.822894699973282	0	0	0	0	0	0
PAX6	0	0	0	0.0739729498730656	0	-1.82838421338836	0	0	0	1.61815798038288	1.42996316452924	0	0	0	0.561633165296511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLI3	0	-0.227134213835898	0	0	-0.114456854789106	0	0	0	0	0	0	0	-0.801053213375589	0	0	0	0	0	0	0	-3.14092892194977	0.566780299779626	-1.00821621880519	0	0	0	0	0	0	0.152030684313162
NEUROD6	0	0.558031691752708	0	0	0	0	7.71528292072918	0	2.08630306055377	0	0	-0.989287913996032	-0.876757208397084	0	0	-5.12301295903345	5.55963987403484	-3.84279049918881	0	0	0	0	0	1.00981492891701	0	1.2038885272701	0	0	0	0
TARS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBFA2T2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCIAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFHX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AFZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34480756710762	0	0	0	0	0	0.513074749660693	0	0	0	0
CCND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIA	0	-1.66310152606444	0	0	0	0	0	0	0	0	0	0	0.425047719009641	0	0	0	0	0.120664638871257	0	0	1.25707540821076	0.415478946279857	0	0	0	0	0	0	0	0
HEY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.069986313544485	0	-0.326789618951351	0	0	0	0	0	0	0	0	0
PTPRZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMOC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB5	0	0	0	0	0	0	0	0	0	0	0	-0.0252662382937084	0	0	0	0	0	0	0	0	0.979825891761789	0	0	0	0	0.302400019723567	0	0	-0.014493856793799	0
DNAJB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
