Atf3	Ets2	Irf1	Nfkb1	Rel	Rela	Relb	Stat1	Stat2	Stat3	Rrs1	Rnf149	Lrrfip1	Ikbke	Rgs1	Fcgr2b	Aim2	Il1rn	Traf1	Nmi	Tank	Ifih1	Il1b	Samhd1	Cd40	Ptpn1	Gnas	Ptx3	Tlr2	Fcgr1	Ifi44	Ddx58	Tnfsf15	Tnfsf8	Rhoh	Stap1	Irf5	Tnip3	Gadd45a	Hk2	Clec4d	Clec4e	Tnfrsf1a	Cd69	Tgfb1	Axl	Nfkbib	Il4ra	Nupr1	Mapk3	Pycard	Irf7	Tab2	Tnfaip3	Cd24a	Map2k2	Phlda1	Il23a	Ikbkb	Msr1	Hmgb2	Il15	Irf8	Ube2e1	Rnase2a	Epsti1	Acp5	Map2k1	Bcl2a1d	Bcl2a1a	Bcl2a1b	Ctsh	Myd88	Osm	Xbp1	Nlrp3	Map2k3	Slfn5	Trim25	Ccr7	Tlk2	Lgals3bp	Ripk1	Vcan	Nfkbia	Fos	Ckb	Cd86	Nfkbiz	Ifnar2	Ifnar1	Ifngr2	Mx1	Pim1	Tnf	Abcf1	C3	Cd14	Unc93b1	Ehd1	Jak2	Ifit2	Nfkb2	Csf2ra
Atf3	0	0	0	-0.1419024584544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09580506718315	0	0	0	0	0	-0.0972279450423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689054831495	0	0	0	0	0	0.09456857935945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1428457265485
Ets2	0	0	0	0	0	0	0	0	0	0	0.090398670439	0	0	0	0	0	0	0	0	0	0.0956646628414	0	-0.0911964387805	0.0904280961731	0	0	0	0.114755341258	0	0	0	0	0	0	0	-0.114270144521	0	0	0	0	0	0	0	0	0	0	-0.138265023205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150726494036	0	0	0	0	0	0	0	0	0	0	0	-0.0717019548745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11872409306	0	0	0	0	0	0	0
Irf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750083791387	0	0	0	0	0	0	0	0	0	0.0803372671792667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.097226899019	0	0	0	0	0	0	0	0	0.076211754295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkb1	0	0.09077432862805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.07552806107275	0	0.09156221313275	0	0	0	0	0	0	0	0	0	0	0	0	0.0835075483719	0.125793251718	0	0.1209436785564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.137242242406	0	0	0	0	-0.1028176957786	0	0	0	0	0	0	0	0	0	0.11353788781265	0	0	0	0	0	0	0	0	0
Rel	0.1361888498639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0774931528254333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0698876654440983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110555457972333	0	0	0	0	0	0	0	0.100237983036683	0	0	0	0	0	0	0	0	0	-0.079596374759435	0	0	0	0	0	0
Rela	0.0972724287532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078901950001	0	0	0.07265977618965	0	0	0	0	0	-0.14210993989935	0	-0.1228566035765	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0844848263785	0	0	-0.0796543648555	0	0.0982618555486	0	0	0	0	0	0	-0.08095126375245	0	0	0	0	0	0	0	0	0	0.2110392014975	0	0	0	0	0	0	0	0.1302694838743	0	0	0	0	0	0	0	0	0	-0.088137936764755	0	0	0	0	0	0
Relb	0	0	0	0.113748747947	0.190263371429	0	0	0	0	0	0	0	0	0	0	0	0	0.128136507117	0	0	0	0.0841036819504	-0.0748942389214	0	0.148418201179	0	0	-0.0890206604708	0	0	0	0	0	0	0	0	0	0	0	0	-0.107127037968	0	0	0	0	0	0	0	0	0	-0.0877472819272	0	0	0	0	0	-0.0897143814555	0	0	0	0.0779997588951	0	0	0	0	0	0	0	0	0.119654266982	0.125475178587	0	0	0	0	-0.169480191057	0	0.0743236566902	0.0793853099181	0.0745895360052	0	0	0	0	0	0	0	0	0.0805815933235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat1	-0.11776888836125	0	-0.1138207744315	0	0	0	0	0	0	0	0	0	0	0	-0.081609842075	0	-0.0712647332513	0	0	0	0	-0.140659110623	0	-0.2632326131545	0	0	0.0741945531112	0	0	-0.07719722589935	-0.08037386517555	-0.0705401483806	-0.0902130622615	0	0	0	0	0.092206701402	0	0	0	0	0	-0.2695275109615	0	0	0	0	-0.0738951589667	0	0	-0.0904803097853	0	0	0	0	0	0	0	-0.07386238597455	0	0	-0.236598210196	0	0	0	-0.0871467914547	0	0	0	0	0	0	0	0	0	0	-0.257976450526	-0.08038479732925	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.202642997041	0	0	0	-0.09649155753555	0	-0.0705966064791	0	0	-0.270396187934	0	0
Stat2	-0.235054633581667	0	-0.1237779505894	0	0	0	0	-0.282160890524333	0	0	0.0819152807110667	0.0817190817422	0	0	-0.113957438205733	0	-0.126768112517667	0	0	-0.0873447869112667	-0.0816854855338333	-0.268390626694667	0	-0.445635575281667	-0.0738923014387967	0.1134968246311	0	-0.0801923937948667	0	-0.251728399358667	-0.221398851784	-0.220953361983667	-0.224583594774067	-0.128783734018333	-0.0762247009523333	0	0	0	0.10864386826	0	0	0	0	-0.368685469271333	0.0807965924245667	0	0	0	-0.0962569625541667	0	-0.1328033749791	-0.273360509071667	0	0	0	0	0.1053947841865	0	0	-0.0727896268425	0.0850373701943	-0.13891344573	-0.227288471945	0	0	-0.123733101343867	0	0	0	0	0	0	-0.0750063682806	0	0	0	0.0976511457406333	-0.490065128819333	-0.200182172999667	0	-0.0736109017595333	-0.170840491372667	0	0	0	0	0	-0.0806552338614667	0	0	0	0	-0.419186464387	-0.0833216334509333	-0.111172989767667	0	0	0	0	0.0962580484765667	0	-0.427922023932	0	0
Stat3	0	0	0	0	0.195345310274	0	0	0	0	0	0	-0.0944494629866	0	0	0.098908437148	0	0	0	0	0	0	0.0934924835726	0.112370051172	0	0.143168372045	-0.094106649658	0	0.146961583757	0	0	0	0	0.30468773937	0	0	0	0	-0.084939395948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0980498689636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0707835988524	0	0	0	0	0	0	0	0	0.0914613313391	0	0	0	0	0	0.178717277628	0	0	0	0	0	0	0.070614202011	0	0
Rrs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrfip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikbke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1rn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
