NEUROD1	TBR1	BACH2	HOPX	MYT1L	SOX5	ZFPM2	LHX2	BCL11B	GLI3	PAX6	SOX1	ST18	SOX9	HES1	NEUROD6	ZEB2	MEIS1	THSD7A	ST3GAL1	IDS	TMSB10	LMO3	HERPUD1	NNAT	SPEN	MPPED2	KLF6	MCM6	GPC4	RBFOX1	CBFA2T2	SLC1A3	RFX3	NDC80	NCOA1	PHACTR3	ORC6	ZFHX4	RANBP1	TIMP3	MYBL2	CST3	MAP1LC3A	TBL1X	PCSK1N	PGK1	SCG3	SFRP1	SQLE	DNAJB6	PTPRZ1	ARHGAP21	CPE	CCND1	MDK	GAPDH	MCM3	PERP	HMGCS1	TARS	BCHE	IGFBP5	SRSF7	GADD45A	NID1	SLC2A1	NEK2	CENPF	BCL11A	GRIA2	ACVR2A	TRIM24	SOX4	DEK	EFNB2	SOX21	C1orf61	FLRT3	PCSK2	SNRPN	BST2	MAP1B	SERPINF1	SYT11	DCLK1	TCEAL4	CCNB1	KIDINS220	LDHA	COL4A2	CD63	CKAP2	EDNRB	TUBB2A	RTN1	TCF12	ZFHX3	CACNA1A	CYR61	HES6	EPHA5	OCIAD2	LIX1	BTF3	TPBG	CREB5	NLGN4X	NFIB	MKI67	HSD17B12	CNKSR2	GRIN2B	PRSS23	AKAP6	BICD1	DST	RABGAP1L	GJA1	JAKMIP1	SORBS2	PPP2R2B	NFIA	H2AFZ	FABP7	CITED2	PTTG1	HEY1	PDP1	CENPV	NAV2	PHB	NSG1	STXBP6	RAB3B	PCDH7	ID4	ZMAT3	CNTNAP2	UBE2C	CSRP2	SOX11	TYMS	NRXN1	GAS1	SHISA2	ATP6AP2	NTM	GPC6	OPCML	POU3F2	NELL2	RALYL	ROBO2	PBX1	DCC	DNER	SPATS2L	SRGAP1	SVIP	CALM1	SMOC1	HLA-C	MXD3	MIAT	PEG10	LINC00461
NEUROD1	0	0	0	0	0	0	0	0	-3.4108042411869	0	0	0	-9.41313421271031	0	0	-2.88361452271593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23024896426948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71264787262885	0	0	0	0	8.27606632161645	0	5.7325651421584	0	0	0	0	0	0	-7.55977754143008	0	0	0	0	0	0	0	6.67317771585521	0	0	0	-10.083389193768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.1449277885155	0	0	0	0	-11.4108676107039	2.40120451659573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9775276183621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7459497001292	0	0	0	0	0	-11.4421900573111	0	0	0	0	0	3.23787405042066	0	0	0	6.94885717292121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.19176841471375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45766060496941	0	0	2.69715532970788	0	0	0	0	0	3.13361697264691	0	0	0	0	0	0	0	0	0	5.9223704261376	0	0	0	0	0	0	-8.38398437967882	0	0	0	0	0	0	0	0	0	0	0	0	0	6.03139078898166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.10976846171295	0	0	0	5.92973973388913	0	0	0	0	0	0
BACH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06755295400097	0	-4.07369730336992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19218975400407	0	0	0	0	0	0	0	0	0	0	0	0	3.00886585958876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87579511469156	0	0	0	0	0	3.27022426272156	0	0	0	0	0	0	0	3.06000634982961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78345247191149	0	0	0	0	0	3.03330027721131	3.72872732646344	0	0	0	0	0	0	0	0	0	0	0	0	0
HOPX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23979534529715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.70074824102631	0	0	0	0	0	0	9.577694752609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12.8033889444212	0	0	0	0	0	0	0	0	0	0	0	4.13005122935056	0	0	0	0	-2.94261852029291	0	0	0	0	0	0	0	0	0	0	0	12.0585079777031	0	0	0	-4.37993147622216	0	0	0	0	0	0	0	0	0	0	0	-5.75948170287286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35944980207576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18917295656372	0	0	0	0	0	0	0	0	0
MYT1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.56119062098385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40046126404455	0	0	0	0	0	6.2439759316853	10.1338195002773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45628644509101	0	5.90560046192606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07092018799669	0	0	-6.31435365759367	0	0	2.43174666423046	0	0	0	0	0	-3.31532795036591	0	0	0	0	0	0	0	0	0	-16.9811746084361	0	5.87858232170638	0	0	0	0	0	0	0	0	10.679310197848	0
SOX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91534008166195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFPM2	0	0	0	0	6.80425417188448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14.4124644477216	0	21.9707867670917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63643701734312	0	0	0	0	4.02706800357661	0	0	0	0	0	0	0	0	0	0	0	-13.1971144146592	0	0	0	0	0	-4.76356183563317	10.837692146618	0	0	11.7343823694257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7636000947114	0	0	0	0	0	0	10.2894671679655	0	0	0	17.5837265660398	0	0	0	0	0	0	6.9981917874317	0	0	0	0	0	0	0	3.65479855949222	2.73553974991102	0	0	0	0	-11.7734894884723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.36186754211246	0	0	0	0	0	0	0	-6.60372804877222	0	0	0	0	0	0
LHX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80936976243177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82730841961238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70107719810843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.14092892194977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
